time,x_mm,y_mm,z_mm,u1,v1,u2,v2,r1,r2,a1,a2
2026-01-15T14:06:18,252.848,-89.4372,550.795,749.042,793.131,325.229,763.831,0,0,385,431
2026-01-15T14:06:19,228.16,-121.231,499.696,708.538,720.109,302.788,699.506,0,0,101,349
2026-01-15T14:06:19,226.187,-106.748,499.836,715.044,746.086,295.131,701.651,0,0,1243,202
2026-01-15T14:06:19,236.315,-106.649,521.124,721.404,754.233,310.001,725.233,0,0,585,185.5
2026-01-15T14:06:19,233.685,-111.958,523.141,719.043,747.251,305.899,731.195,0,0,1211,195.5
2026-01-15T14:06:19,234.581,-112.934,516.905,723.593,742.599,306.222,723.4,0,0,1416.5,195
2026-01-15T14:06:19,58.5619,-124.847,1393.84,744.367,732.662,11.2934,1567.7,0,0,34.5,146
2026-01-15T14:06:19,233.275,-115.792,504.545,725.909,731.916,304.084,708.261,0,0,275.5,108.5
2026-01-15T14:06:20,234.142,-110.111,507.171,727.898,742.762,304.296,710.855,0,0,972.5,212
2026-01-15T14:06:20,235.597,-113.529,521.127,723.027,743.393,308.069,728.41,0,0,1439,165
2026-01-15T14:06:20,237.611,-112.669,520.218,723.58,743.663,311.882,724.846,0,0,1501.5,293
2026-01-15T14:06:20,239.754,-111.81,522.035,727.928,745.718,313.802,727.232,0,0,772.5,39.5
2026-01-15T14:06:20,240.015,-109.185,513.193,729.686,745.458,314.392,713.886,0,0,1060.5,293.5
2026-01-15T14:06:21,238.838,-110.615,514.767,730.102,744.46,311.721,718.179,0,0,1276,539.5
2026-01-15T14:06:21,238.464,-110.938,524.437,726.857,748.722,311.437,731.583,0,0,1729.5,245.5
2026-01-15T14:06:21,232.173,-109.678,521.873,724.806,751.457,300.048,733.547,0,0,1326.5,344
2026-01-15T14:06:21,233.711,-105.509,509.668,724.025,751.503,304.76,712.022,0,0,1212.5,159
2026-01-15T14:06:21,236.423,-107.671,511.399,725.597,747.93,309.33,712.827,0,0,990,340
2026-01-15T14:06:22,236.677,-108.511,515.439,726.047,748.633,309.197,719.073,0,0,1524.5,584
2026-01-15T14:06:22,232.842,-111.32,522.071,725.627,748.7,301.05,733.852,0,0,1430,341.5
2026-01-15T14:06:22,235.64,-109.279,515.668,727.942,748.092,306.212,721.778,0,0,1339,460
2026-01-15T14:06:22,244.278,-107.845,519.647,730.254,749.441,321.835,718.729,0,0,1040,236
2026-01-15T14:06:22,231.943,-115.64,501.19,725.346,730.73,302.1,704.459,0,0,183.5,85
2026-01-15T14:06:22,235.799,-110.348,511.733,731.148,744.559,305.507,717.568,0,0,1199,543
2026-01-15T14:06:22,235.812,-109.665,511.275,730.323,745.354,305.956,716.274,0,0,1194,320
2026-01-15T14:06:23,237.422,-109.037,520.394,726.464,750.104,309.935,726.047,0,0,1883,467
2026-01-15T14:06:23,235.091,-108.298,517.763,726.64,750.852,305.448,724.676,0,0,1713,645.5
2026-01-15T14:06:23,235.516,-102.752,510.914,731.088,756.916,304.717,714.852,0,0,333,128
2026-01-15T14:06:23,237.665,-106.687,511.877,726.951,749.483,311.07,712.585,0,0,1529.5,288.5
2026-01-15T14:06:23,235.548,-110.092,524.991,726.212,751.331,305.795,735.233,0,0,1645.5,346.5
2026-01-15T14:06:24,236.8,-108.331,522.732,727.087,752.748,308.074,730.477,0,0,1409,471.5
2026-01-15T14:06:24,239.081,-99.1642,515.661,728.707,763.578,312.324,715.853,0,0,445,309
2026-01-15T14:06:24,231.172,-112.445,509.554,728.674,741.285,297.821,718.77,0,0,135,42
2026-01-15T14:06:24,238.234,-106.814,518.628,728.838,752.827,310.52,723.194,0,0,800.5,432
2026-01-15T14:06:24,235.825,-106.781,520.437,724.727,754.234,307.476,726.541,0,0,1409.5,740
2026-01-15T14:06:24,237.112,-106.582,520.792,725.267,754.322,309.748,725.837,0,0,1434.5,836
2026-01-15T14:06:25,237.17,-106.485,522.632,725.015,755.361,309.772,728.408,0,0,1178,222.5
2026-01-15T14:06:25,236.817,-106.368,520.146,727.856,754.756,307.95,726.519,0,0,965,181.5
2026-01-15T14:06:25,237.59,-99.3112,521.388,729.552,766.938,308.209,726.878,0,0,346.5,214.5
2026-01-15T14:06:25,238.763,-99.6537,517.655,731.705,764.313,310,721,0,0,166,24
2026-01-15T14:06:25,254.912,-119.503,555.689,723.509,744.566,342.802,759.847,0,0,53,331.5
2026-01-15T14:06:26,240.837,-61.8041,520.646,752.027,831.28,301.549,725.873,0,0,3005.5,236
2026-01-15T14:06:26,256.784,-67.6816,597.585,763.061,843.503,317.034,840.255,0,0,5631,371.5
2026-01-15T14:06:26,265.701,-82.0593,595.385,801.317,821.443,312.223,850.637,0,0,10929,2807.5
2026-01-15T14:06:26,290.18,-79.4252,600.987,829.482,825.018,345.441,850.775,0,0,8481.5,2062.5
2026-01-15T14:06:26,311.214,-77.6841,600.145,871.564,827.57,361.863,854.115,0,0,6668,1868.5
2026-01-15T14:06:26,325.785,-70.9054,601.146,891.021,837.353,379.761,852.956,0,0,5208,1442
2026-01-15T14:06:27,386.398,-69.3759,603.676,923.837,827.286,488.172,811.168,0,0,2991.5,379
2026-01-15T14:06:27,388.747,-71.7968,596.694,933.563,822.669,487.845,803.768,0,0,950.5,125
2026-01-15T14:06:27,384.73,-67.6088,598.496,937.713,832.36,476.286,814.946,0,0,1477.5,646.5
2026-01-15T14:06:27,386.172,-61.7558,611.493,924.406,841.455,486.227,825.496,0,0,1814.5,1903
2026-01-15T14:06:27,410.567,-25.4722,631.199,959,898,512.545,860.877,0,0,24,77
2026-01-15T14:06:27,412.1,-56.1801,626.86,956.067,853.662,513.342,849.866,0,0,65,173.5
2026-01-15T14:06:28,632.111,-25.2531,816.124,973.556,862.092,880.32,945.51,0,0,114,5517.5
2026-01-15T14:06:28,404.266,-47.8255,608.718,970.774,865.681,492.569,837.178,0,0,137,66.5
2026-01-15T14:06:28,320.342,-49.6631,570.899,971,868.5,311.076,861.158,0,0,39,111.5
2026-01-15T14:06:28,408.511,-47.926,615.82,971.432,866.682,498.47,846.462,0,0,126.5,120.5
2026-01-15T14:06:29,479.264,96.5873,730.401,1040.16,1055.83,552.961,1099.1,0,0,917,7018
2026-01-15T14:06:29,456.513,-110.681,818.879,925.885,824.608,548.933,1102.82,0,0,4900.5,4796
2026-01-15T14:06:29,446.799,-130.64,829.326,907.025,804.468,539.642,1107.36,0,0,9061.5,6663.5
2026-01-15T14:06:29,307.895,-89.792,566.037,864.24,797.579,369.617,796.19,0,0,8997.5,5044
2026-01-15T14:06:29,306.064,-90.8845,556.809,860.257,791.949,370.814,780.195,0,0,1861.5,1514
2026-01-15T14:06:29,614.729,-85.6317,872.028,869.854,791.752,876.986,949.735,0,0,3088.5,5478.5
2026-01-15T14:06:29,432.063,-138.727,839.459,868.654,795.948,542.982,1102.99,0,0,7900,4115.5
2026-01-15T14:06:30,317.73,-91.3351,554.561,878.702,789.825,384.45,775.264,0,0,5600,1940.5
2026-01-15T14:06:30,385.682,-131.796,710.71,874.759,776.18,480.539,959.468,0,0,4339,2346.5
2026-01-15T14:06:30,313.775,-99.4266,540.759,880.084,772.495,378.617,758.774,0,0,3226,1954
2026-01-15T14:06:30,321.415,-121.55,537.572,919.604,742.242,368.281,775.537,0,0,1993.5,710
2026-01-15T14:06:30,312.746,-103.576,536.492,887.281,765.754,372.918,758.302,0,0,4724.5,1995
2026-01-15T14:06:30,388.24,-144.194,657.329,892.125,743.52,484.269,884.705,0,0,1015.5,343
2026-01-15T14:06:31,290.457,-89.1992,555.868,833.006,794.666,354.915,778.765,0,0,2445.5,1597.5
2026-01-15T14:06:31,284.369,-86.6813,551.662,829.514,798.282,345.112,776.133,0,0,1261.5,549.5
2026-01-15T14:06:31,428.668,-173.151,848.887,837.25,759.885,554.125,1087.72,0,0,4351,1598
2026-01-15T14:06:31,446.687,-208.475,868.127,861.359,730.299,552.382,1109.19,0,0,1720.5,8983.5
2026-01-15T14:06:31,297.736,-118.216,518.956,871.42,735.307,355.571,739.312,0,0,605.5,1547
2026-01-15T14:06:31,440.367,-230.89,885.959,839.381,712.025,550.912,1116.82,0,0,1726,10096
2026-01-15T14:06:32,440.902,-239.213,936.84,835.8,717.281,542.001,1174.49,0,0,1100.5,2459.5
2026-01-15T14:06:32,458.022,-246.703,903.925,852.917,702.196,561.923,1131.36,0,0,1113.5,4727
2026-01-15T14:06:32,304.352,-140.072,511.643,868.13,693.738,371.175,723.842,0,0,835.5,645
2026-01-15T14:06:32,302.923,-127.379,520.767,852.704,716.394,375.496,727.471,0,0,1845.5,595
2026-01-15T14:06:32,303.712,-112.986,483.63,860.053,716.098,382.204,666.548,0,0,2115.5,525
2026-01-15T14:06:32,459.403,-243.442,887.193,865.317,701.512,557.794,1119.28,0,0,1131.5,6092.5
2026-01-15T14:06:32,470.311,-259.506,890.121,883.43,688.521,555.028,1124.78,0,0,115.5,1398.5
2026-01-15T14:06:33,455.916,-223.494,883.58,860.362,719.23,562.358,1117.63,0,0,2078.5,3567
2026-01-15T14:06:33,299.332,-109.852,489.321,849.749,724.793,377.713,673.857,0,0,1806,704
2026-01-15T14:06:33,400.083,-2.93544,638.112,951,932.5,496.573,880.256,0,0,30,756.5
2026-01-15T14:06:33,381.726,1.65105,621.566,959.695,943.329,450.911,878.764,0,0,4022,3256.5
2026-01-15T14:06:33,439.439,-156.053,846.671,852.384,777.108,566.287,1089.44,0,0,5792.5,2775
2026-01-15T14:06:33,320.791,-141.145,702.67,858.421,765.114,359.422,996.364,0,0,2523.5,1908.5
2026-01-15T14:06:34,370.784,342.74,737.292,950.737,1307.65,315.039,1308.4,0,0,4388.5,6048.5
2026-01-15T14:06:34,423.678,300.358,714.407,955.641,1292.83,564.474,1148.1,0,0,6527,12131
2026-01-15T14:06:34,421.218,-146.743,906.321,809.071,798.567,559.999,1157.73,0,0,5941,12868.5
2026-01-15T14:06:34,420.962,-137.88,898.925,779.808,803.079,589.658,1127.1,0,0,11895,8526
2026-01-15T14:06:34,420.664,-131.672,905.347,777.63,810.508,591.735,1136.17,0,0,2135,4356.5
2026-01-15T14:06:34,377.54,-118.408,782.821,789.239,803.681,519.988,1015.64,0,0,11051.5,10688
2026-01-15T14:06:35,402.875,-1.00176,715.59,895.001,937.858,526.68,976.636,0,0,2561,22980.5
2026-01-15T14:06:35,384.077,-81.3426,719.68,776.542,820.036,558.984,898.916,0,0,15547.5,11898.5
2026-01-15T14:06:35,384.8,-79.6389,706.452,745.291,806.388,580.208,850.283,0,0,14318,11199.5
2026-01-15T14:06:35,560.855,-172.606,825.463,1049.85,773.206,589.354,1122.87,0,0,6623,10278
2026-01-15T14:06:35,329.174,3.54016,649.517,866.322,950.246,395.533,918.199,0,0,6270.5,18327.5
2026-01-15T14:06:35,406.322,-169.649,635.991,1026.32,724.157,404.468,939.357,0,0,3543.5,6939.5
2026-01-15T14:06:35,557.77,-252.876,904.81,999.814,710.445,581.017,1171.78,0,0,5940,4873.5
2026-01-15T14:06:36,377.254,-171.49,653.535,981.446,721.194,380.051,956.75,0,0,5111.5,870
2026-01-15T14:06:36,156.026,-55.774,464.052,661.056,844.46,172.433,692.376,0,0,1611.5,407
2026-01-15T14:06:36,407.134,-189.816,805.102,970.535,735.293,382.088,1138.15,0,0,585,68
2026-01-15T14:06:36,461.998,-172.625,740.484,976.464,744.153,521.973,1011.5,0,0,586,758.5
2026-01-15T14:06:36,136.216,-102.376,441.56,656.395,742.055,147.484,690.48,0,0,1271,290.5
2026-01-15T14:06:36,208.055,-118.894,421.497,954.628,696.642,152.176,717.051,0,0,1294.5,451.5
2026-01-15T14:06:37,215.69,-109.034,411.819,958.475,714.492,170.405,694.953,0,0,1122.5,645
2026-01-15T14:06:37,157.211,-117.434,449.55,664.807,714.808,187.621,686.293,0,0,491.5,137.5
2026-01-15T14:06:37,214.139,-118.13,407.847,950.076,694.246,175.327,689.122,0,0,2869.5,492.5
2026-01-15T14:06:37,207.79,-118.777,420.598,954.861,696.435,151.92,715.994,0,0,314.5,595
2026-01-15T14:06:37,327.205,-172.993,591.731,947.955,693.54,332.977,882.101,0,0,2210,376.5
2026-01-15T14:06:37,207.435,-121.366,421.08,948,691.778,155.675,714.708,0,0,2470,567
2026-01-15T14:06:37,169.199,-113.688,506.117,690.682,746.617,191.433,762.086,0,0,1771,2043.5
2026-01-15T14:06:38,235.559,-140.559,582.572,947.352,709.499,141.204,926.806,0,0,1595,201.5
2026-01-15T14:06:38,236.597,-124.911,421.603,943.851,690.168,220.764,688.643,0,0,1455,376
2026-01-15T14:06:38,333.887,-181.627,638.082,946.048,698.061,328.463,944.388,0,0,2072.5,341
2026-01-15T14:06:38,447.626,-212.205,752.53,945.412,701.21,509.258,1014.04,0,0,1112.5,411.5
2026-01-15T14:06:38,324.906,-110.06,580.799,722.348,734.554,474.608,712.599,0,0,1211,533.5
2026-01-15T14:06:38,273.241,-145.727,645.379,755.623,742.255,349.953,894.484,0,0,1333,2496
